var_1,description_1,var_2,description_2,label
Right Gyrus And Sulcus Occipital Inferior Thickness From Qdec,,rh_G_and_S_occipital_inf_thickness,Right_gyrus_and_sulcus_occipital_inferior_thickness_from_Qdec_rh.aparc.a2009s.thickness_file-FreeSurfer(v5.3),1
Right Gyrus Rectus Meancurv From Qdec,,rh_G_rectus_meancurv,Right_gyrus_rectus_meancurv_from_Qdec_rh.aparc.a2009s.meancurv_file-FreeSurfer(v5.3),1
Right Gyrus Oc-temp Lat-fusifor Thickness From Qdec,,(G_oc-temp_lat-fusifor)ThickAvg,,1
Left Rostral Middle Frontal Area,,lh_rostralmiddlefrontal_area,,1
Right Gyrus Occipital Sup Meancurv From Qdec,,Right-Pallidum,Right-Pallidum_from_Qdec_aseg.volume.stats_file,0
Right Superiortemporal Meancurv From Qdec,,rh_G_pariet_inf-Supramar_meancurv,Right_gyrus_pariet_inf-Supramar_meancurv_from_Qdec_rh.aparc.a2009s.meancurv_file,0
Right Sulcus Orbital Lateral Volume From Qdec,,lrlatogv,,1
Left Gyrus Occipital Sup Meancurv From Qdec,,lh_G_occipital_sup_meancurv,Left_gyrus_occipital_sup_meancurv_from_Qdec_lh.aparc.a2009s.meancurv_file,1
Right Medialorbitofrontal Meancurv From Qdec,,rh_medialorbitofrontal_meancurv,Right_medialorbitofrontal_meancurv_from_Qdec_rh.aparc.meancurv_file-FreeSurfer(v5.3),1
Right Sulcus Pericallosal Area From Qdec,,lh_rostralanteriorcingulate_volume,Left_rostralanteriorcingulate_volume_from_Qdec_lh.aparc.volume.stats_file,0
Left Sulcus Oc-temp Lat Volume From Qdec,,rh_G_temporal_inf_area,Right_gyrus_temporal_inferior_area_from_Qdec_rh.aparc.a2009s.area.stats_file,0
Verbal fluency tests (Phonemic) ,A test that measures the verbal fluency of an individual. This tool measures both semantic fluency and phonetic fluency.,phon_fluency,Total_number_of_words(s-phone)_pronunced_in_one_minute,1
Left Gyrus Precentral Volume From Qdec,,(G_precentral)GrayVol,,1
Left Lat Fis-ant-Horizont Volume From Qdec,,wm-rh-transversetemporal,,0
Left Gyrus Subcallosal Thickness From Qdec,,Handedness_interpretation,Edinburgh Handedness Inventory Interpretation,0
Traumatic Brain Injury,Trauma to the brain.,ptau_result,,0
Left Gyrus Postcentral Thickness From Qdec,,(S_orbital_lateral)ThickAvg,,0
Right Gyrus And Sulcus Frontomargin Thickness From Qdec,,rh_entorhinal_thickness,Right_entorightinal_thickness_from_Qdec_rh.aparc.thickness.stats_file-FreeSurfer(v5.3),0
White-matter-Right-parsorbitalis-from Qdec Wmparc,White-matter-Right-parsorbitalis-from_Qdec_wmparc.volume.stats_file,(G_and_S_transv_frontopol)SurfArea,,0
Right Gyrus Insular Short Area From Qdec,,rh_G_insular_short_area,Right_gyrus_insular_short_area_from_Qdec_rh.aparc.a2009s.area.stats_file,1
Left Whole Hippocampus Volume,Left_Whole_hippocampus,rh_S_oc-temp_lat_meancurv,Right_sulcus_oc-temp_lat_meancurv_from_Qdec_rh.aparc.a2009s.meancurv_file,0
Left Sulcus Collat Transv Anterior Thickness From Qdec,,lh_S_pericallosal_area,Left_sulcus_pericallosal_area_from_Qdec_lh.aparc.a2009s.area.stats_file-FreeSurfer(v5.3),0
Right Gyrus Frontal Inf-Opercular Meancurv From Qdec,,rh_S_calcarine_thickness,,0
Left Sulcus Parieto Occipital Volume From Qdec,,(Left-choroid-plexus)Volume_mm3,,0
Left Gyrus And Sulcus Occipital Inferior Volume From Qdec,,(G_and_S_occipital_inf)GrayVol,,1
Left Accumbens Area Volume,,Left-Accumbens-area,Left-Accumbens-area_from_Qdec_aseg.volume.stats_file-FreeSurfer(v5.3),1
Left Temporal Pole Gray Matter Volume,,ST60CV,Cortical Volume (aparc.stats) of LeftTemporalPole,1
Right Rostralanteriorcingulate Area,,statciv,Sociodemographic-Patient_data:_martial_status,0
Right Gyrus Oc-temp Med-Lingual Volume From Qdec,,(G_oc-temp_med-Lingual)GrayVol,,1
CC Central From Qdec Aseg,,rh_cuneus_meancurv,,0
