var_1,description_1,var_2,description_2,label
Right Caudal Middle Frontal Mean Frontal Thickness,,rh_caudalmiddlefrontal_thickness,,1
Right Cerebellum Gray Matter Volume,,ST76SV,,1
Left Caudalanteriorcingulate Meancurv From Qdec,,lh_caudalanteriorcingulate_meancurv,,1
Digit Span Test (Backward),,lh_G_occipital_sup_meancurv,,0
Digit Span Test (Forward),A subtest of the Wechsler Adult Intelligence Scale - Fourth Edition. The subject is read a sequence of numbers and recalls the numbers in the same order.,Neuropsych.Total fwd + bk,Digital Span Test,1
Left Sulcus Oc-temp Med And Lingual Meancurv From Qdec,,lh_(inferiorparietal)SurfArea,,0
Interleukin-6 (IL-6) in Plasma,,rh_S_front_inf_meancurv,Right_sulcus_frontal_inferior_meancurv_from_Qdec_rh.aparc.a2009s.meancurv_file,0
Clock Drawing Test,,cdt,Clock_drawing_test:_Total_score,1
Right Entorightinal Area,,LPARHIPM,,0
Left Sulcus Pericallosal Area From Qdec,,lh_middletemporal_meancurv,,0
Left Gyrus Precuneus Meancurv From Qdec,,PTETHNIC,Ethnic Category,0
Living Situation,,RLATORBM,,0
Participant ID,,(S_temporal_sup)ThickAvg,,0
Left Sulcus Circular Insula Inferior Volume From Qdec,,BIRTHYR,,0
Left Transverse Temporal Grey Matter Volume,,lh_transversetemporal_volume,Left_transversetemporal_volume_from_Qdec_lh.aparc.volume.stats_file,1
Right Gyrus And Sulcus Paracentral Area From Qdec,,rh_G_and_S_paracentral_area,,1
Right Superiorparietal Meancurv From Qdec,,rh_superiorparietal_meancurv,,1
White-matter-Right-transversetemporal-from Qdec Wmparc,,Diagnosis,,0
Right Gyrus Temp Sup-Plan Polar Area From Qdec,,right_Hippocampal_tail,Right_Hippocampal_tail,0
Left Gyrus Frontal Inf-Triangul Meancurv From Qdec,,lh_G_front_inf-Triangul_meancurv,,1
Right Gyrus Temporal Inferior Area From Qdec,,rh_S_calcarine_volume,,0
APOE Allele 2,,lh_S_circular_insula_ant_area,Left_sulcus_circular_insula_anterior_area_from_Qdec_lh.aparc.a2009s.area.stats_file,0
Left Gyrus Pariet Inf-Angular Meancurv From Qdec,,lh_G_pariet_inf-Angular_meancurv,,1
Visit,The act of going to see some person or place or thing; it can cover a short or long period but refers to a non-permanent arrangement.,fu_year,,1
NEU Protein (HER2) in Plasma,,NEU,,1
"Ears, Nose and Throat",-,PXHEADEY,,1
Left Sulcus Calcarine Meancurv From Qdec,,lh_G_and_S_cingul-Mid-Ant_area,,0
Right Sulcus Intrapariet And P Trans Volume From Qdec,,rh_S_intrapariet_and_P_trans_volume,Right_sulcus_intrapariet_and_P_trans_volume_from_Qdec_rh.aparc.a2009s.volume_file,1
Right Pars Opercularis Gray Matter Volume,,rh_S_circular_insula_inf_area,,0
Left HATA Volume,Left_HATA,lh_G_front_inf-Orbital_area,,0
White-matter-Right-middletemporal-from Qdec Wmparc,,rh_bankssts_thickness,Right_banks_of_the_superior_temoral_sulcus_thickness_from_Qdec_rh.aparc.thickness.stats_file-FreeSurfer(v5.3),0
Right Presubiculum Volume,Right_presubiculum,rh_(caudalanteriorcingulate)GrayVol,,0
White-matter-Right-superiorparietal-from Qdec Wmparc,White-matter-Right-superiorparietal-from_Qdec_wmparc.volume.stats_file,wm-rh-superiorparietal,,1
A-beta 1-42 in CSF,The determination of the amount of the 1-42 amino acid beta amyloid protein isoform present in a sample.,CSF.Ab42_INNX_MELB,,1
Right Sulcus Frontal Middle Area From Qdec,,rh_S_front_middle_area,Right_sulcus_frontal_middle_area_from_Qdec_rh.aparc.a2009s.area.stats_file-FreeSurfer(v5.3),1
Left Sulcus Temporal Inferior Thickness From Qdec,,lh_postcentral_area,,0
Advanced Instrumental Activities of Daily Living (AIADL),,katzsum,,1
Left Sulcus Intrapariet And P Trans Area From Qdec,,lh_(postcentral)SurfArea,,0
Left Superiorparietal Mean Cortical Thickness,,lh_paracentral_thickness,,0
Left Gyrus Parietal Sup Thickness From Qdec,,lh_G_parietal_sup_thickness,,1
Right Gyrus Frontal Inf-Orbital Area From Qdec,,lh_G_cuneus_meancurv,,0
Biological Sex,,Gender,,1
Left Gyrus Subcallosal Meancurv From Qdec,,Height,Height measured at eligibility visit (PREEL00),0
Marital Status,A demographic parameter indicating a person's current conjugal status.,lh_cuneus_thickness,,0
Left Inferiorparietal Mean Cortical Thickness,,lh_inferiorparietal_thickness,,1
Right Pole Occipital Thickness From Qdec,,(Pole_occipital)ThickAvg,,1
Verbal fluency tests (Phonemic) ,A test that measures the verbal fluency of an individual. This tool measures both semantic fluency and phonetic fluency.,Neuropsych.FAS (total),,1
Logical Memory - Delayed Recall,"A subtest of the Wechsler Memory Scale, 4th Edition that assesses narrative memory under a free recall condition. A short story is presented orally. After a delay, the subject is asked to recall the story from memory.",drttotalrecalltscore,"""4. Total Recall",1
Heart Rate,,docip,Past_pathological_anamnesis:_does_the_patient_carry_medical_reports_about_high_blood_pressure,0
Left Lat Fis-post Area From Qdec,,CC_Mid_Anterior,,0
Right Lateraloccipital Meancurv From Qdec,,rh_lateraloccipital_meancurv,Right_lateraloccipital_meancurv_from_Qdec_rh.aparc.meancurv_file-FreeSurfer(v5.3),1
